Team,Seed,Elimination Round,Reg Season Wins,Reg Conf Place,Conf Tourney Place,Region,Day of 1st Round Game,Preseason AP Rank,Final AP Rank,Tuition,Number of Students,PPG,PPG Rank,PPG Tourney Rank,ASM,ASM Rank,ASM Tourney Rank,Off Efficiency,Off Efficiency Rank,Off Efficiency Tourney Rank,Shooting %,Shooting % Rank,Shooting % Tourney Rank,3PS%,3PS% Rank,3PS% Tourney Rank,2PS%,2PS% Rank,2PS% Tourney Rank,FT%,FT% Rank,FT% Tourney Rank,RPG,RPG Rank,RPG Tourney Rank,TOPG,Least TOPG Rank,Least TOPG Tourney Rank,OPPG,Least OPPG Rank,Least OPPG Tourney Rank,Def Efficiency,Least Def Eff Rank,Least Def Eff Tourney Rank,OeFG%,OeFG% Rank,OeFG% Tourney Rank,DeFG%,DeFG% Rank,DeFG% Tourney Rank,OREB%,OREB% Rank,OREB% Tourney Rank,DREB%,DREB% Rank,DREB% Tourney Rank,OTOV%,OTOV% Rank,OTOV% Tourney Rank,DTOV%,DTOV% Rank,DTOV% Tourney Rank,OFTA/FGA,OFTA/FGA Rank,OFTA/FGA Tourney Rank,DFTA/FGA,DFTA/FGA Rank,DFTA/FGA Tourney Rank,FastPace,FastPace Rank,FastPace Tourney Rank,AdjO,AdjO Rank,AdjO Tourney Rank,AdjD,AdjD Rank,AdjD Tourney Rank,Net,Net Tourney Rank,SOS Net Rank,SOS Net Tourney Rank,Elo,Elo Rank,Elo Tourney Rank,Kenpom,Kenpom Rank,Kenpom Tourney Rank,Sagarin,Sagarin Rank,Sagarin Tourney Rank,10 Year Drought,Highest Seed in Program History
Xavier,3,16,23,2,2,Midwest,Friday,,13,"$42,230 ","7,061",81.4,6,5,7.4,42,29,1.107,15,13,0.494,5,4,0.395,3,2,0.54,38,17,0.714,202,45,37.7,28,15,12.6,205,52,74.1,267,64,1.007,172,59,0.556,11,7,0.504,171,51,0.3,73,28,0.768,51,18,0.153,113,42,0.146,263,57,0.308,206,45,0.271,66,18,73.5,38,6,119.3,9,8,99.6,70,40,22,22,31,19,1663.89,22,22,19.69,16,16,86.5,16,16,0,0
Tennessee,4,16,22,5,8,East,Thursday,11,20,"$29,522 ","30,559",71.8,154,54,13.8,2,2,1.055,78,45,0.437,213,60,0.329,227,57,0.509,150,47,0.714,203,46,38.5,17,9,12.1,139,41,58,3,2,0.853,2,2,0.503,196,58,0.424,2,2,0.359,5,5,0.756,89,33,0.152,108,41,0.194,20,9,0.309,201,43,0.349,268,52,68,275,54,112.7,49,37,88,2,2,4,4,32,20,1614.33,37,33,24.71,5,5,89.28,9,9,0,0
Michigan State,7,16,19,4,8,East,Friday,,,"$41,290 ","49,695",70.2,189,62,2.8,119,62,1.036,117,52,0.45,133,49,0.395,4,3,0.477,279,65,0.762,37,10,35.7,100,34,10.9,44,18,67.4,86,30,0.994,135,50,0.516,121,42,0.481,71,37,0.239,259,57,0.764,66,22,0.145,71,30,0.129,342,65,0.258,334,65,0.286,108,23,67.8,291,55,113.4,41,32,96.7,40,30,33,33,7,6,1578.22,49,42,16.71,32,32,84.93,30,30,0,0
Arkansas,8,16,19,10,8,West,Thursday,10,,"$24,482 ","27,562",74.4,91,38,7,51,35,1.033,124,53,0.475,24,13,0.317,304,62,0.537,47,19,0.69,287,60,35.2,125,44,12.9,229,56,67.4,87,31,0.936,32,18,0.52,95,35,0.465,23,12,0.289,111,35,0.747,126,38,0.16,199,58,0.179,61,23,0.387,28,7,0.389,327,65,72,79,18,112.6,51,38,94,16,14,21,21,17,11,1585.37,47,40,18.63,20,20,85.76,23,23,0,0
Princeton,15,16,19,2,1,South,Thursday,,,"$56,010 ","7,853",75,78,35,6.1,62,42,1.062,67,40,0.455,91,37,0.34,177,47,0.535,52,21,0.713,205,47,38.3,19,10,11.7,99,33,68.9,127,42,0.976,90,39,0.525,74,30,0.48,70,36,0.264,187,49,0.782,18,6,0.148,90,35,0.128,349,66,0.322,155,38,0.293,125,26,70.6,155,36,109.1,103,54,103.5,137,54,111,60,264,57,1539.05,77,59,5.57,112,58,76.31,107,57,0,0
Kansas,1,32,25,1,2,West,Thursday,5,4,"$26,960 ","26,744",74.9,79,36,7,53,37,1.041,109,48,0.466,44,21,0.344,158,42,0.529,69,27,0.717,186,42,35.9,82,26,12.4,185,48,67.9,105,35,0.943,43,25,0.524,76,31,0.471,35,18,0.267,180,47,0.739,159,42,0.153,121,43,0.177,66,24,0.298,232,50,0.312,183,39,72,78,17,114.6,29,25,91.5,7,6,9,9,1,1,1779.06,6,6,23.14,9,9,89.95,7,7,0,0
Marquette,2,32,25,1,1,East,Friday,,6,"$44,970 ","11,550",79.9,15,9,9.4,20,17,1.108,13,11,0.487,9,7,0.348,137,36,0.588,5,3,0.721,170,37,31.9,304,65,10.7,36,17,70.6,176,51,0.978,93,41,0.56,8,5,0.511,210,57,0.239,261,58,0.693,324,67,0.135,26,13,0.197,18,7,0.271,317,64,0.29,119,24,72.2,71,15,119.3,8,7,97.5,47,35,12,12,45,27,1781.82,5,5,21.83,12,12,87.51,12,12,0,1
Baylor,3,32,22,4,8,South,Friday,5,11,"$50,232 ","19,297",77.2,36,22,6.9,54,38,1.105,16,14,0.447,156,55,0.372,32,12,0.508,156,49,0.749,62,19,34.5,172,49,12.3,181,46,70.3,164,48,1.006,170,58,0.531,53,21,0.514,231,61,0.322,24,12,0.701,308,63,0.155,140,47,0.172,89,29,0.372,40,12,0.314,186,40,69.8,188,42,121.9,2,2,101.9,104,47,15,15,2,2,1656.45,23,23,19.98,15,15,87.36,13,13,0,0
Indiana,4,32,21,3,4,Midwest,Friday,13,21,"$36,932 ","43,064",75,74,33,6.6,57,40,1.071,51,33,0.49,7,6,0.37,34,14,0.532,62,24,0.712,207,48,35.8,92,30,11.6,88,30,68.5,116,38,0.977,92,40,0.538,36,17,0.473,41,24,0.259,200,50,0.739,167,43,0.15,95,37,0.142,297,60,0.301,221,48,0.306,166,36,70.1,180,40,114.7,27,23,97.3,43,33,30,30,12,9,1643.99,26,26,17.36,30,30,86.21,18,18,0,0
Duke,5,32,23,4,1,East,Thursday,7,12,"$58,085 ","16,172",72.5,128,48,8.6,27,20,1.078,41,27,0.451,120,45,0.336,193,52,0.514,118,39,0.77,25,6,38.7,15,7,12,131,40,63.9,28,13,0.95,51,27,0.511,157,53,0.464,22,11,0.353,7,7,0.764,64,21,0.154,126,44,0.146,265,58,0.308,204,44,0.241,16,7,67.3,309,58,113.2,42,33,94.8,24,19,16,16,57,33,1767.1,7,7,18.49,21,21,87.34,14,14,0,0
Saint Mary's College,5,32,25,1,2,West,Friday,,19,"$51,568 ","3,439",71,171,59,11,12,12,1.081,35,24,0.457,85,33,0.367,45,18,0.509,149,46,0.691,282,59,35.4,114,39,10.5,27,14,60,4,3,0.914,10,7,0.525,73,29,0.467,26,13,0.311,55,22,0.801,3,2,0.141,49,19,0.171,95,31,0.312,189,42,0.303,155,33,65.7,346,67,113.5,40,31,91.6,9,8,11,11,77,41,1674.8,20,20,21.9,11,11,86.43,17,17,0,0
Kentucky,6,32,21,3,8,East,Friday,4,,"$30,245 ","29,986",75.1,73,32,7,49,33,1.086,30,21,0.459,77,31,0.354,103,29,0.504,183,56,0.703,237,51,39,13,5,11.7,92,32,68,107,36,0.984,107,43,0.512,149,51,0.488,93,41,0.372,4,4,0.778,26,8,0.144,63,27,0.148,246,55,0.325,137,36,0.299,147,31,69.1,227,46,117.4,14,13,99.6,71,41,26,26,25,16,1651.78,25,25,17.8,28,28,85.95,20,20,0,0
TCU,6,32,20,6,4,West,Friday,14,22,"$51,570 ","11,379",75.2,71,31,7.3,44,31,1.037,116,51,0.457,86,34,0.306,339,66,0.519,94,35,0.701,249,55,35.7,98,33,12.2,158,44,67.9,102,34,0.937,36,21,0.502,202,59,0.478,60,31,0.313,49,20,0.715,271,59,0.147,82,32,0.191,25,11,0.339,98,29,0.297,140,29,72.5,60,13,112.4,53,40,94.3,20,18,28,28,11,8,1608.94,40,36,18.06,27,27,85.95,21,21,0,0
Missouri,7,32,23,4,4,South,Thursday,,23,"$28,992 ","31,089",79.5,18,11,4.9,79,54,1.102,17,15,0.473,25,14,0.361,75,22,0.559,13,7,0.758,42,13,30.3,345,68,11.3,66,24,74.6,280,66,1.034,244,66,0.551,17,10,0.523,275,65,0.255,212,52,0.642,363,68,0.141,52,22,0.207,9,4,0.295,243,53,0.352,277,55,72.2,72,16,119.3,10,9,105.4,178,60,42,40,35,21,1641.21,28,27,13.92,51,43,82.38,52,42,0,0
Northwestern,7,32,21,2,8,West,Thursday,,,"$60,276 ","22,603",67.7,254,66,5.2,76,52,1.004,191,65,0.406,337,68,0.321,279,60,0.465,317,68,0.751,54,16,34.6,166,48,9.8,10,6,62.5,16,7,0.927,18,13,0.472,320,66,0.484,81,39,0.267,181,48,0.76,74,26,0.128,11,8,0.191,27,12,0.297,236,51,0.316,194,42,67.4,306,57,108.5,109,55,93.7,13,11,41,39,37,23,1561.3,59,48,14.83,42,39,83.93,40,37,0,1
Maryland,8,32,20,6,8,South,Thursday,,,"$36,683 ","40,709",70.4,183,60,7.2,46,32,1.067,61,36,0.449,142,52,0.33,221,56,0.52,93,34,0.739,105,27,33.8,216,55,10.5,26,13,63.2,23,11,0.957,60,31,0.511,154,52,0.479,61,32,0.288,113,37,0.747,125,37,0.141,48,18,0.162,154,43,0.338,102,32,0.278,85,22,66,338,64,114.1,35,29,95.8,33,25,31,31,36,22,1552.51,67,55,18.37,22,22,85.47,24,24,0,0
Auburn,9,32,20,7,16,Midwest,Thursday,15,,"$30,240 ","30,737",72.7,123,47,5.7,69,46,1.03,133,55,0.441,183,59,0.314,314,63,0.51,144,45,0.702,243,53,36.2,68,22,12.5,190,49,67.1,77,26,0.95,50,26,0.496,224,63,0.456,12,6,0.313,50,21,0.693,322,66,0.155,144,49,0.165,129,38,0.355,67,20,0.391,331,66,70.6,153,35,112.7,48,36,95.2,29,23,32,32,18,12,1564.81,56,46,17.45,29,29,85.32,26,26,0,0
Penn State,10,32,19,10,2,Midwest,Thursday,,,"$34,480 ","91,427",72.3,136,49,3.9,96,58,1.086,31,22,0.464,49,23,0.385,9,5,0.535,51,20,0.738,110,29,32.6,278,61,9,4,2,68.4,115,37,1.027,230,65,0.555,13,9,0.493,114,44,0.173,359,68,0.761,73,25,0.125,8,5,0.116,362,68,0.214,361,68,0.259,38,10,66.6,330,62,116.8,17,16,101.8,101,46,48,42,21,14,1619.18,33,31,15.04,39,37,83.88,41,38,1,0
Pittsburgh,11,32,21,5,8,Midwest,Friday,,,"$34,124 ","32,277",76.1,52,27,5.6,70,47,1.094,23,19,0.453,102,42,0.36,79,25,0.527,72,28,0.761,38,11,36.2,72,24,11.2,57,22,70.5,171,49,1.013,185,62,0.532,49,19,0.492,108,43,0.281,134,40,0.734,187,47,0.143,57,25,0.145,276,59,0.324,141,37,0.306,165,35,69.6,203,43,115.1,24,20,103.8,142,55,67,52,90,44,1558.18,61,50,11.27,77,52,81.54,59,46,0,0
Furman,13,32,24,1,1,South,Thursday,,,"$52,992 ","2,567",80.4,11,6,9,24,18,1.137,4,3,0.476,21,10,0.344,159,43,0.591,1,1,0.735,123,32,35.3,119,41,11,49,20,71.4,201,56,1.01,177,61,0.556,12,8,0.506,181,53,0.287,117,39,0.743,145,39,0.138,36,16,0.161,157,44,0.347,80,23,0.318,207,43,70.7,147,30,114.2,33,28,105.8,183,61,88,53,303,61,1585.7,46,39,8.43,89,53,79.48,80,52,1,0
